type,release_year,rating,listed_in,content_age,added_year,added_month,movie_duration_minutes,season_count,genre_count,cast_count,primary_country
Movie,2011,TV-14,"Comedies, Dramas, International Movies",15,2020,7,114.0,,3,10,India
Movie,2013,TV-14,"Comedies, International Movies",13,2020,7,96.0,,2,9,India
TV Show,2020,TV-Y7,"Kids' TV, TV Comedies",6,2020,7,,2.0,2,10,India
TV Show,2019,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",7,2020,7,,6.0,3,16,Spain
Movie,2020,TV-MA,"Comedies, Romantic Movies",6,2020,7,107.0,,2,7,United States
Movie,2020,TV-MA,"Dramas, International Movies",6,2020,7,89.0,,2,7,Indonesia
Movie,2017,PG-13,Documentaries,9,2020,7,94.0,,1,2,Switzerland
TV Show,2020,TV-MA,"International TV Shows, TV Horror, TV Mysteries",6,2020,7,,1.0,3,19,Japan
TV Show,2020,TV-PG,Reality TV,6,2020,7,,1.0,1,1,United States
TV Show,2020,TV-G,"Kids' TV, TV Dramas",6,2020,7,,1.0,2,10,United States
Movie,2019,TV-MA,"Comedies, Dramas, International Movies",7,2020,7,148.0,,3,10,Ghana
TV Show,1993,TV-G,Reality TV,33,2020,7,,1.0,1,1,United States
Movie,2020,TV-MA,Stand-Up Comedy,6,2020,7,82.0,,1,1,Brazil
TV Show,2020,TV-MA,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",6,2020,7,,1.0,3,5,United States
Movie,2019,TV-14,"Documentaries, International Movies",7,2020,7,95.0,,2,2,Italy
TV Show,2019,TV-MA,"British TV Shows, Reality TV",7,2020,7,,1.0,2,1,United Kingdom
TV Show,2016,TV-MA,"International TV Shows, TV Dramas",10,2020,7,,1.0,2,8,Taiwan
TV Show,2019,TV-Y,Kids' TV,7,2020,7,,1.0,1,7,United States
Movie,2020,TV-MA,"Dramas, International Movies",6,2020,7,120.0,,2,10,Spain
Movie,2015,TV-MA,"Action & Adventure, Comedies, International Movies",11,2020,7,115.0,,3,8,Turkey
Movie,2019,TV-MA,"Documentaries, Music & Musicals",7,2020,7,107.0,,2,1,Canada
Movie,1999,R,Thrillers,27,2020,7,105.0,,1,8,United States
Movie,2014,TV-MA,"Comedies, International Movies",12,2020,7,134.0,,2,11,Turkey
TV Show,2020,TV-14,"Reality TV, Romantic TV Shows",6,2020,7,,1.0,2,3,United States
Movie,2007,PG-13,"Action & Adventure, International Movies, Romantic Movies",19,2020,7,128.0,,3,12,United Kingdom
Movie,2019,TV-MA,Comedies,7,2020,7,103.0,,1,8,United States
Movie,2019,TV-14,"Documentaries, International Movies",7,2020,7,96.0,,2,1,Spain
Movie,1990,R,"Action & Adventure, Sci-Fi & Fantasy",36,2020,7,114.0,,2,10,United States
TV Show,2004,TV-Y,Kids' TV,22,2020,7,,1.0,1,1,France
Movie,2020,TV-MA,"Comedies, International Movies, Romantic Movies",6,2020,7,102.0,,3,16,Italy
TV Show,2020,TV-14,"Anime Series, International TV Shows",6,2020,6,,1.0,2,6,Japan
Movie,2020,TV-MA,Stand-Up Comedy,6,2020,6,52.0,,1,1,United States
TV Show,2020,TV-MA,"International TV Shows, TV Dramas",6,2020,6,,1.0,2,1,Chile
Movie,2011,TV-14,"Action & Adventure, Dramas, International Movies",15,2020,6,86.0,,3,8,United Kingdom
Movie,2020,TV-G,"Dramas, International Movies, Romantic Movies",6,2020,6,104.0,,3,8,Indonesia
Movie,2019,TV-MA,"Documentaries, International Movies",7,2020,6,76.0,,2,1,Nigeria
Movie,2019,TV-14,"Dramas, International Movies",7,2020,6,135.0,,2,7,Unknown
TV Show,2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",6,2020,6,,3.0,3,14,Germany
Movie,2020,PG,"Children & Family Movies, Dramas, Independent Movies",6,2020,6,99.0,,3,10,Australia
TV Show,2020,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",6,2020,6,,1.0,3,10,Colombia
Movie,2020,PG-13,"Comedies, Music & Musicals, Romantic Movies",6,2020,6,124.0,,3,9,United States
TV Show,2020,TV-MA,Docuseries,6,2020,6,,1.0,1,1,United States
Movie,2019,TV-14,"Comedies, International Movies, Romantic Movies",7,2020,6,117.0,,3,7,Nigeria
Movie,2016,TV-MA,"Dramas, Independent Movies, International Movies",10,2020,6,107.0,,3,6,Philippines
Movie,2019,TV-MA,"Dramas, International Movies, Romantic Movies",7,2020,6,111.0,,3,1,India
Movie,2019,TV-14,"Dramas, International Movies, Romantic Movies",7,2020,6,116.0,,3,1,Unknown
Movie,2019,TV-14,"Dramas, International Movies",7,2020,6,135.0,,2,7,India
TV Show,2020,TV-G,"International TV Shows, Korean TV Shows, Reality TV",6,2020,6,,1.0,3,2,South Korea
Movie,2020,TV-MA,"International Movies, Romantic Movies",6,2020,6,126.0,,2,8,India
Movie,2015,TV-14,"Action & Adventure, Dramas, International Movies",11,2020,6,164.0,,3,12,India
Movie,2006,TV-14,"Dramas, International Movies, Romantic Movies",20,2020,6,166.0,,3,10,India
Movie,2020,PG-13,"Documentaries, Sports Movies",6,2020,6,104.0,,2,1,United States
Movie,2020,TV-MA,"Horror Movies, International Movies",6,2020,6,94.0,,2,6,India
TV Show,2020,TV-PG,"British TV Shows, International TV Shows, Reality TV",6,2020,6,,1.0,3,4,United Kingdom
Movie,2020,TV-MA,"Dramas, Independent Movies, International Movies",6,2020,6,92.0,,3,6,Chile
Movie,2020,TV-MA,Stand-Up Comedy,6,2020,6,52.0,,1,1,United States
TV Show,2020,TV-14,"Classic & Cult TV, TV Dramas, TV Sci-Fi & Fantasy",6,2020,6,,2.0,3,8,United States
Movie,2020,TV-14,"Dramas, Independent Movies, International Movies",6,2020,6,112.0,,3,8,India
Movie,2017,TV-PG,"Comedies, International Movies, Romantic Movies",9,2020,6,90.0,,3,10,Nigeria
TV Show,2020,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",6,2020,6,,1.0,3,9,South Korea
Movie,2017,R,"Dramas, Independent Movies, Thrillers",9,2020,6,101.0,,3,8,United States
Movie,2019,TV-MA,"Dramas, International Movies",7,2020,6,84.0,,2,8,Nigeria
TV Show,2020,TV-14,"Docuseries, Science & Nature TV",6,2020,6,,2.0,2,1,United States
Movie,2020,TV-MA,"Comedies, Dramas, International Movies",6,2020,6,112.0,,3,8,India
Movie,1997,TV-14,"Dramas, International Movies",29,2020,6,136.0,,2,10,France
Movie,2020,TV-MA,"Documentaries, LGBTQ Movies",6,2020,6,108.0,,2,1,United States
Movie,2020,TV-G,"Children & Family Movies, Comedies, Dramas",6,2020,6,110.0,,3,17,United States
TV Show,2020,TV-PG,Reality TV,6,2020,6,,1.0,1,1,United States
Movie,2020,TV-MA,"Action & Adventure, Dramas, International Movies",6,2020,6,93.0,,3,9,France
TV Show,2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas",6,2020,6,,2.0,3,9,Brazil
Movie,2020,TV-MA,"Dramas, International Movies, Romantic Movies",6,2020,6,90.0,,3,2,Turkey
Movie,1994,TV-14,"Dramas, International Movies",32,2020,6,130.0,,2,7,Egypt
TV Show,2020,TV-MA,"TV Comedies, TV Dramas, Teen TV Shows",6,2020,6,,2.0,3,12,United States
Movie,2020,TV-MA,"Dramas, International Movies, Thrillers",6,2020,6,128.0,,3,6,France
Movie,2020,TV-PG,"Anime Features, Children & Family Movies, International Movies",6,2020,6,104.0,,3,9,Japan
Movie,1979,TV-MA,"Classic Movies, Dramas, International Movies",47,2020,6,131.0,,3,11,Egypt
Movie,1989,TV-MA,"Classic Movies, Dramas, International Movies",37,2020,6,109.0,,3,8,France
Movie,1982,TV-MA,"Classic Movies, Dramas, Independent Movies",44,2020,6,129.0,,3,8,Egypt
Movie,1958,TV-14,"Classic Movies, Dramas, International Movies",68,2020,6,73.0,,3,8,Egypt
Movie,1956,TV-14,"Classic Movies, Dramas, International Movies",70,2020,6,104.0,,3,7,Egypt
Movie,2020,TV-PG,"Documentaries, International Movies, Sports Movies",6,2020,6,48.0,,3,1,Unknown
Movie,2019,TV-14,"Comedies, International Movies",7,2020,6,114.0,,2,8,Philippines
Movie,2020,TV-G,"Documentaries, International Movies, Music & Musicals",6,2020,6,86.0,,3,1,Thailand
Movie,1963,TV-MA,"Action & Adventure, Classic Movies, Dramas",63,2020,6,194.0,,3,10,Egypt
Movie,2010,TV-MA,"Dramas, International Movies, Romantic Movies",16,2020,6,76.0,,3,11,Lebanon
Movie,1954,TV-14,"Classic Movies, Dramas, International Movies",72,2020,6,116.0,,3,10,Egypt
Movie,1970,TV-MA,"Classic Movies, Dramas, International Movies",56,2020,6,130.0,,3,8,Egypt
Movie,2014,PG,"Children & Family Movies, Comedies",12,2020,6,85.0,,2,10,Canada
TV Show,2020,TV-MA,"International TV Shows, TV Dramas, TV Horror",6,2020,6,,2.0,3,13,United States
Movie,2018,R,"Comedies, Independent Movies",8,2020,6,108.0,,2,13,United Kingdom
Movie,2020,TV-PG,"Children & Family Movies, Dramas, Faith & Spirituality",6,2020,6,81.0,,3,5,United States
Movie,2012,TV-14,"Dramas, International Movies",14,2020,6,76.0,,2,9,Nigeria
Movie,2016,PG-13,"Horror Movies, Thrillers",10,2020,6,92.0,,2,10,United States
TV Show,2015,TV-PG,Reality TV,11,2020,6,,2.0,1,2,United States
Movie,2019,TV-MA,"Documentaries, Music & Musicals",7,2020,6,85.0,,2,3,United Kingdom
Movie,2013,PG,"Children & Family Movies, Sports Movies",13,2020,6,85.0,,2,23,Argentina
Movie,2019,TV-14,"Action & Adventure, Dramas, International Movies",7,2020,6,108.0,,3,8,Malaysia
Movie,2019,TV-MA,"Dramas, International Movies, Thrillers",7,2020,6,120.0,,3,8,Nigeria
TV Show,2020,TV-G,"Kids' TV, TV Comedies",6,2020,6,,4.0,2,8,United States
Movie,2020,TV-14,"Dramas, International Movies",6,2020,6,117.0,,2,5,India
TV Show,2020,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries",6,2020,6,,6.0,3,10,United States
Movie,2020,TV-14,"Dramas, International Movies, Romantic Movies",6,2020,6,100.0,,3,8,Indonesia
Movie,2020,TV-MA,"Comedies, Dramas, Independent Movies",6,2020,6,101.0,,3,9,India
Movie,2020,R,"Action & Adventure, Dramas",6,2020,6,156.0,,2,10,United States
TV Show,2020,TV-MA,"Reality TV, Romantic TV Shows",6,2020,6,,2.0,2,1,Unknown
TV Show,2020,TV-MA,TV Comedies,6,2020,6,,4.0,1,5,United States
TV Show,2020,TV-MA,"International TV Shows, Stand-Up Comedy & Talk Shows",6,2020,6,,1.0,2,6,Germany
Movie,2020,TV-MA,Stand-Up Comedy,6,2020,6,55.0,,1,4,United States
Movie,2018,PG,"Anime Features, Children & Family Movies",8,2020,6,96.0,,2,15,Japan
TV Show,2002,TV-14,Anime Series,24,2020,6,,4.0,1,9,Japan
TV Show,2020,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",6,2020,6,,1.0,3,18,Mexico
TV Show,2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",6,2020,6,,1.0,3,10,Poland
Movie,2014,TV-MA,"Comedies, Dramas, International Movies",12,2020,6,104.0,,3,12,United Arab Emirates
Movie,2008,TV-14,"Comedies, International Movies",18,2020,6,101.0,,2,8,Saudi Arabia
TV Show,2020,TV-MA,"International TV Shows, TV Dramas, TV Horror",6,2020,6,,1.0,3,9,Italy
TV Show,2020,TV-14,"TV Action & Adventure, TV Sci-Fi & Fantasy",6,2020,6,,5.0,2,17,United States
TV Show,2020,TV-MA,"Docuseries, Reality TV, Science & Nature TV",6,2020,6,,1.0,3,1,United States
Movie,2009,R,"Comedies, Dramas, Independent Movies",17,2020,6,113.0,,3,10,United States
TV Show,2018,TV-MA,"Crime TV Shows, International TV Shows, Korean TV Shows",8,2020,6,,1.0,3,6,South Korea
TV Show,2020,TV-MA,"International TV Shows, TV Horror, TV Mysteries",6,2020,6,,1.0,3,21,Brazil
Movie,2018,TV-MA,"Action & Adventure, International Movies, Sci-Fi & Fantasy",8,2020,6,126.0,,3,8,South Korea
Movie,2017,PG-13,"Dramas, Romantic Movies",9,2020,6,98.0,,2,15,United States
Movie,2020,TV-MA,"Dramas, International Movies, Romantic Movies",6,2020,6,114.0,,3,10,Poland
Movie,2020,TV-14,"International Movies, Thrillers",6,2020,6,132.0,,2,8,India
Movie,2018,TV-14,"Dramas, Independent Movies, International Movies",8,2020,6,92.0,,3,7,India
TV Show,2018,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas",8,2020,6,,4.0,3,6,United States
Movie,2020,R,"Dramas, Independent Movies",6,2020,6,90.0,,2,6,United States
TV Show,2020,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",6,2020,6,,4.0,3,13,United States
Movie,2016,TV-14,"Dramas, International Movies",10,2020,6,86.0,,2,5,Egypt
Movie,2014,PG-13,"Comedies, Romantic Movies",12,2020,6,103.0,,2,17,United States
Movie,2020,TV-14,"Dramas, International Movies",6,2020,6,114.0,,2,12,India
Movie,2019,TV-MA,"Comedies, International Movies",7,2020,6,115.0,,2,9,Nigeria
TV Show,2020,TV-14,Reality TV,6,2020,6,,5.0,1,5,United States
TV Show,2019,TV-14,"Classic & Cult TV, TV Action & Adventure, TV Horror",7,2020,6,,15.0,3,9,United States
Movie,2020,TV-MA,"Action & Adventure, Dramas, Independent Movies",6,2020,6,149.0,,3,9,United States
Movie,2010,TV-MA,"Dramas, International Movies, Romantic Movies",16,2020,6,96.0,,3,1,Unknown
TV Show,2020,TV-MA,"Anime Series, International TV Shows",6,2020,6,,3.0,2,14,Japan
Movie,2017,TV-14,"Dramas, International Movies, Romantic Movies",9,2020,6,102.0,,3,8,Turkey
Movie,2017,TV-MA,"Comedies, International Movies",9,2020,6,105.0,,2,10,Turkey
Movie,2007,TV-MA,"Comedies, International Movies, Romantic Movies",19,2020,6,114.0,,3,4,Egypt
Movie,2017,R,"Comedies, Dramas, Independent Movies",9,2020,6,94.0,,3,10,United States
Movie,2020,TV-G,"Children & Family Movies, Documentaries",6,2020,6,83.0,,2,1,United States
TV Show,2019,TV-14,Reality TV,7,2020,6,,1.0,1,1,Unknown
Movie,2008,TV-14,"Comedies, International Movies",18,2020,6,106.0,,2,6,Egypt
Movie,2006,TV-14,"Comedies, Dramas, International Movies",20,2020,6,116.0,,3,5,Egypt
Movie,2006,TV-14,"Comedies, International Movies",20,2020,6,109.0,,2,6,Egypt
Movie,2009,TV-14,"Comedies, International Movies, Romantic Movies",17,2020,6,97.0,,3,10,Unknown
Movie,2012,TV-MA,"Comedies, Dramas, International Movies",14,2020,6,100.0,,3,6,Egypt
Movie,2008,TV-14,"Dramas, International Movies",18,2020,6,116.0,,2,10,Egypt
Movie,2004,TV-14,"Action & Adventure, Comedies, International Movies",22,2020,6,111.0,,3,7,Egypt
Movie,2020,TV-Y,Children & Family Movies,6,2020,6,24.0,,1,8,Canada
Movie,2006,TV-PG,"Comedies, Dramas, International Movies",20,2020,6,95.0,,3,6,Saudi Arabia
Movie,2011,TV-14,"Comedies, International Movies, Romantic Movies",15,2020,6,135.0,,3,5,Egypt
Movie,2019,TV-MA,"Horror Movies, International Movies",7,2020,6,95.0,,2,8,Egypt
TV Show,1999,TV-Y7,"Anime Series, International TV Shows",27,2020,6,,2.0,2,21,Japan
Movie,2020,TV-14,"Comedies, Dramas, Independent Movies",6,2020,6,92.0,,3,8,India
Movie,2017,TV-G,"Comedies, International Movies, Romantic Movies",9,2020,6,100.0,,3,12,Zimbabwe
TV Show,2016,TV-MA,"International TV Shows, Korean TV Shows, TV Dramas",10,2020,6,,1.0,3,9,South Korea
Movie,2019,TV-PG,"Comedies, International Movies",7,2020,6,80.0,,2,8,United Arab Emirates
TV Show,2018,TV-MA,"Anime Series, International TV Shows",8,2020,6,,1.0,2,6,Japan
TV Show,2014,TV-MA,"International TV Shows, TV Dramas",12,2020,6,,3.0,2,12,Japan
Movie,2018,PG,"Action & Adventure, Anime Features, Children & Family Movies",8,2020,6,98.0,,3,8,Japan
TV Show,2017,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",9,2020,6,,1.0,3,4,South Korea
TV Show,2017,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",9,2020,6,,1.0,3,3,South Korea
Movie,2017,R,"Comedies, Dramas",9,2020,6,104.0,,2,15,United States
Movie,2016,TV-14,Dramas,10,2020,6,98.0,,1,10,United Kingdom
Movie,2019,TV-14,"Dramas, Music & Musicals, Romantic Movies",7,2020,5,104.0,,3,8,Romania
Movie,2018,TV-PG,"Comedies, Dramas, International Movies",8,2020,5,99.0,,3,8,United Arab Emirates
Movie,2020,TV-MA,Stand-Up Comedy,6,2020,5,68.0,,1,1,India
TV Show,2020,TV-MA,TV Comedies,6,2020,5,,1.0,1,14,United States
Movie,1999,TV-MA,"Dramas, International Movies, Romantic Movies",27,2020,5,106.0,,3,10,France
TV Show,2018,TV-MA,"TV Comedies, TV Dramas",8,2020,5,,2.0,2,10,Ireland
TV Show,2020,TV-MA,"Anime Series, International TV Shows",6,2020,5,,1.0,2,19,Japan
Movie,2014,TV-14,"Comedies, Horror Movies, International Movies",12,2020,5,71.0,,3,10,United Arab Emirates
Movie,2015,TV-14,"Comedies, Horror Movies, International Movies",11,2020,5,80.0,,3,10,United Arab Emirates
Movie,2020,TV-MA,"Dramas, International Movies, Thrillers",6,2020,5,116.0,,3,10,Argentina
TV Show,2016,TV-G,"Kids' TV, TV Comedies",10,2020,5,,4.0,2,12,Australia
Movie,2019,TV-MA,"Dramas, Independent Movies, International Movies",7,2020,5,112.0,,3,11,Mexico
Movie,2020,TV-MA,Stand-Up Comedy,6,2020,5,73.0,,1,1,Australia
Movie,2019,TV-14,"Action & Adventure, Comedies, International Movies",7,2020,5,110.0,,3,7,China
TV Show,2019,TV-14,"TV Action & Adventure, TV Sci-Fi & Fantasy",7,2020,5,,5.0,2,13,United States
Movie,2019,R,"Dramas, Thrillers",7,2020,5,135.0,,2,8,United States
TV Show,2020,TV-MA,"International TV Shows, TV Action & Adventure, TV Horror",6,2020,5,,1.0,3,10,India
TV Show,2019,TV-14,TV Dramas,7,2020,5,,3.0,1,8,United States
Movie,2020,TV-G,"Dramas, International Movies",6,2020,5,128.0,,2,8,Indonesia
Movie,2020,TV-G,"Dramas, International Movies, Music & Musicals",6,2020,5,93.0,,3,8,Indonesia
TV Show,2020,TV-14,"British TV Shows, Docuseries, International TV Shows",6,2020,5,,1.0,3,1,United Kingdom
Movie,2019,TV-MA,"Horror Movies, International Movies, Thrillers",7,2020,5,149.0,,3,8,Nigeria
Movie,2018,PG,"Anime Features, Children & Family Movies",8,2020,5,54.0,,2,7,Japan
Movie,2020,R,"Action & Adventure, Comedies, Romantic Movies",6,2020,5,87.0,,3,9,United States
TV Show,2020,TV-MA,TV Comedies,6,2020,5,,2.0,1,11,Canada
Movie,2018,TV-G,"Dramas, International Movies, Romantic Movies",8,2020,5,102.0,,3,8,Indonesia
Movie,1981,TV-14,"Comedies, Dramas, International Movies",45,2020,5,177.0,,3,6,Kuwait
Movie,1996,TV-14,"Comedies, International Movies",30,2020,5,204.0,,2,4,Unknown
Movie,1982,TV-PG,"Comedies, International Movies, Romantic Movies",44,2020,5,233.0,,3,6,Unknown
Movie,2019,TV-14,"Comedies, International Movies, Romantic Movies",7,2020,5,98.0,,3,10,Chile
TV Show,2020,TV-MA,"International TV Shows, Korean TV Shows, TV Comedies",6,2020,5,,1.0,3,12,South Korea
Movie,1979,TV-14,"Comedies, Dramas, International Movies",47,2020,5,237.0,,3,6,Egypt
Movie,1984,TV-14,"Comedies, Dramas, International Movies",42,2020,5,230.0,,3,4,Unknown
Movie,1985,TV-14,"Comedies, International Movies",41,2020,5,173.0,,2,6,Unknown
Movie,1981,TV-14,"Comedies, International Movies, Romantic Movies",45,2020,5,195.0,,3,4,Egypt
Movie,1973,TV-14,"Comedies, Dramas, International Movies",53,2020,5,253.0,,3,7,Egypt
Movie,1976,TV-PG,"Comedies, International Movies",50,2020,5,157.0,,2,11,Egypt
Movie,2010,TV-MA,"Dramas, International Movies",16,2020,5,97.0,,2,5,Canada
Movie,2020,TV-PG,Music & Musicals,6,2020,5,85.0,,1,1,United States
TV Show,2020,TV-14,"Docuseries, International TV Shows, Spanish-Language TV Shows",6,2020,5,,1.0,3,1,Unknown
Movie,2014,TV-MA,"Dramas, Independent Movies",12,2020,5,94.0,,2,9,United Kingdom
Movie,2010,TV-14,"Dramas, Independent Movies, Romantic Movies",16,2020,5,80.0,,3,8,United States
Movie,2020,TV-MA,"Comedies, International Movies",6,2020,5,94.0,,2,10,Mexico
TV Show,2020,TV-14,"International TV Shows, Spanish-Language TV Shows, TV Dramas",6,2020,5,,1.0,3,13,Colombia
Movie,2020,TV-MA,"Comedies, Dramas, Independent Movies",6,2020,5,92.0,,3,8,India
Movie,2006,TV-PG,"Comedies, International Movies",20,2020,5,105.0,,2,10,Egypt
Movie,2009,TV-14,"Action & Adventure, International Movies",17,2020,5,120.0,,2,10,Egypt
Movie,2012,TV-14,"Comedies, International Movies, Romantic Movies",14,2020,5,96.0,,3,4,Egypt
Movie,2007,TV-14,"Comedies, International Movies",19,2020,5,107.0,,2,5,Egypt
Movie,2008,TV-PG,"Comedies, International Movies",18,2020,5,93.0,,2,9,Egypt
Movie,2009,TV-14,"Comedies, International Movies",17,2020,5,101.0,,2,7,Egypt
TV Show,2020,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",6,2020,5,,1.0,2,2,United States
TV Show,2020,TV-14,"Romantic TV Shows, TV Dramas",6,2020,5,,1.0,2,10,United States
Movie,2006,TV-14,"Comedies, International Movies, Romantic Movies",20,2020,5,110.0,,3,10,Egypt
Movie,2004,TV-14,"Comedies, International Movies",22,2020,5,112.0,,2,8,Egypt
Movie,2012,PG,"Dramas, Independent Movies, International Movies",14,2020,5,93.0,,3,8,Saudi Arabia
Movie,2005,TV-PG,"Comedies, International Movies, Romantic Movies",21,2020,5,109.0,,3,4,Egypt
Movie,2019,TV-14,"Dramas, International Movies",7,2020,5,105.0,,2,7,Nigeria
TV Show,2020,TV-PG,"British TV Shows, International TV Shows, Reality TV",6,2020,5,,1.0,3,3,United Kingdom
TV Show,2020,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",6,2020,5,,6.0,2,1,United States
Movie,2019,TV-MA,"Action & Adventure, Comedies, International Movies",7,2020,5,97.0,,3,10,Kuwait
TV Show,2009,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",17,2020,5,,1.0,3,10,South Korea
TV Show,2009,TV-14,"International TV Shows, Korean TV Shows, TV Action & Adventure",17,2020,5,,1.0,3,8,South Korea
TV Show,2007,TV-Y7,"Classic & Cult TV, Kids' TV, TV Action & Adventure",19,2020,5,,3.0,3,7,United States
Movie,2017,TV-MA,"Dramas, International Movies",9,2020,5,91.0,,2,8,Lebanon
Movie,2019,TV-MA,"Comedies, International Movies, Romantic Movies",7,2020,5,88.0,,3,6,Spain
TV Show,2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",6,2020,5,,1.0,3,8,France
TV Show,2019,TV-PG,TV Dramas,7,2020,5,,6.0,1,10,United States
TV Show,2020,TV-14,"Reality TV, TV Comedies",6,2020,5,,3.0,2,1,United States
TV Show,2014,TV-MA,"Anime Series, International TV Shows, TV Horror",12,2020,5,,1.0,3,8,Japan
TV Show,2020,TV-Y7,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",6,2020,5,,5.0,3,19,United States
TV Show,2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",6,2020,5,,1.0,3,13,Thailand
TV Show,2019,TV-MA,"International TV Shows, Korean TV Shows, TV Horror",7,2020,5,,1.0,3,7,South Korea
TV Show,2015,TV-Y,Kids' TV,11,2020,5,,2.0,1,5,Australia
TV Show,2020,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",6,2020,5,,1.0,3,11,United Kingdom
Movie,2018,TV-14,"Dramas, International Movies, Romantic Movies",8,2020,5,109.0,,3,8,Indonesia
Movie,2019,TV-14,"Dramas, International Movies, Romantic Movies",7,2020,5,118.0,,3,8,Indonesia
Movie,2018,TV-G,"Children & Family Movies, Dramas, International Movies",8,2020,5,109.0,,3,8,United Arab Emirates
Movie,2020,TV-MA,"Action & Adventure, International Movies, Romantic Movies",6,2020,5,131.0,,3,8,India
Movie,2017,TV-14,"Dramas, International Movies",9,2020,5,91.0,,2,3,Unknown
Movie,2018,TV-MA,"Dramas, Independent Movies, International Movies",8,2020,5,152.0,,3,8,Mexico
Movie,2018,TV-14,"International Movies, Thrillers",8,2020,5,67.0,,2,6,Nigeria
Movie,2018,TV-PG,"Comedies, Dramas, International Movies",8,2020,5,72.0,,3,5,Kuwait
Movie,2012,TV-14,"Documentaries, International Movies",14,2020,5,83.0,,2,1,India
Movie,2020,TV-MA,"Comedies, Romantic Movies",6,2020,5,90.0,,2,10,United States
Movie,2019,TV-14,"Dramas, International Movies, Romantic Movies",7,2020,5,106.0,,3,5,United Arab Emirates
TV Show,2020,TV-Y,Kids' TV,6,2020,5,,1.0,1,8,Canada
Movie,2020,TV-14,Comedies,6,2020,5,190.0,,1,18,United States
Movie,2010,TV-PG,"Children & Family Movies, Comedies, International Movies",16,2020,5,129.0,,3,10,India
Movie,1994,TV-14,"Action & Adventure, Comedies, Cult Movies",32,2020,5,160.0,,3,9,India
TV Show,2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",7,2020,5,,3.0,3,10,Finland
Movie,2020,TV-MA,Documentaries,6,2020,5,86.0,,1,2,United States
TV Show,2020,TV-MA,"Crime TV Shows, Docuseries",6,2020,5,,1.0,2,1,United States
Movie,2020,R,"Dramas, Thrillers",6,2020,5,92.0,,2,8,United States
Movie,2020,TV-MA,"Dramas, Independent Movies, International Movies",6,2020,5,114.0,,3,9,Italy
TV Show,2020,TV-MA,"TV Comedies, TV Dramas",6,2020,5,,2.0,2,7,United States
TV Show,2020,TV-14,"International TV Shows, Reality TV",6,2020,5,,2.0,2,3,Canada
TV Show,2020,TV-MA,"International TV Shows, TV Dramas",6,2020,5,,1.0,2,13,United Kingdom
TV Show,2020,TV-Y7,"Kids' TV, TV Thrillers",6,2020,5,,2.0,2,8,Canada
Movie,2016,TV-14,"International Movies, Sci-Fi & Fantasy",10,2020,5,90.0,,2,7,United Arab Emirates
Movie,2019,TV-14,"International Movies, Sci-Fi & Fantasy, Thrillers",7,2020,5,94.0,,3,10,Kuwait
TV Show,2020,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies",6,2020,5,,2.0,3,10,China
Movie,2018,TV-PG,"Dramas, International Movies",8,2020,5,86.0,,2,8,Indonesia
Movie,2020,PG,Documentaries,6,2020,5,89.0,,1,1,United States
Movie,2020,TV-MA,"Comedies, International Movies, Romantic Movies",6,2020,5,107.0,,3,8,Unknown
Movie,2020,TV-PG,Stand-Up Comedy,6,2020,5,61.0,,1,1,United States
Movie,2019,PG,"Children & Family Movies, Comedies",7,2020,5,93.0,,2,10,India
Movie,2020,TV-G,"Children & Family Movies, Comedies, Music & Musicals",6,2020,5,81.0,,3,4,Brazil
Movie,2019,TV-14,"Dramas, International Movies",7,2020,5,120.0,,2,10,India
TV Show,2020,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",6,2020,5,,1.0,3,3,Argentina
Movie,2019,PG-13,"Dramas, Sports Movies",7,2020,5,94.0,,2,8,United States
Movie,2020,TV-14,"Comedies, International Movies",6,2020,5,91.0,,2,10,Colombia
TV Show,2015,TV-PG,Docuseries,11,2020,5,,1.0,1,1,Unknown
TV Show,2020,TV-PG,Reality TV,6,2020,5,,1.0,1,1,Unknown
